"Private Bag 0024, Gaborone
Private Bag F193,
Private Bag 32Private Bag 47
Tel: 3671300 Fax: 3952201
Francistown
GhanziMaun
Toll Free: 0800 600 200
Tel: 241 5848  Fax: 241 7540
Tel: 371 5723 Fax: 659 7506Tel: 371 5716 Fax: 686 4327
E-mail: info@statsbots.org.bw Website: http://www.statsbots.org.bw",Statistics Report 2021,Trea Sbtlaeti s1ti.c1sb,"e  pLoertn 2g0t2h1  of Roads (km) Maintained by the
Central Government by Type  (km), 2012-2021",Unnamed: 0,Unnamed: 1,Unnamed: 2,Table 1.1c: Len,"th of Roads (Km) Maintained by Local Authorities by District and Type, 2021",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Sand/,Interlocking,Vehicle Type,"Table 2.1: Motor Vehicle Accident Trend, 2012 - 2021",Unnamed: 7,Unnamed: 8,Unnamed: 9,Number,Severity of Crash,Table 2.4: Accident S,"verity by Type Road Surface, 2021",Table,".5: Road Traffic Violations by MontTho,t a2l021",Unnamed: 10,Casualty Status,00-05,16.7,14.3,69.0,100,Table 2.7a: Casual,"y Injury by Vehicle Type, 2021","1.1a:  Total Length of Roads in Botswana (km) , 2017 - 2021",Casualty Injury,Casualties,"2012 10,693","5,737","1,506","17,936","5,807","54,613","1,811",-,"62,231","16,500","60,350","3,317","80,167",International Traffic,Domestic Traffic,Passenger,Motor,Tankers/,Vehicles/,Body Type,Mini,2012,"17,527","6,035",404,"401,015  2,066",43.7,84.8,15.0,29.2,10.10,19.6,Time of Occurrence,Unnamed: 11,Male,Female,Table 12: Cause of Accident by,"asualty Class, 2021",Table 13:,"river Casualties by Age, 2021",Francistown,219,432,313,964,929,954,357,"2,240","1,148 1,386",670,"3,204",Maun,"2,145","1,444","3,589","1,578","42,542",-.1,-.2,"44,120","3,723","43,986",-.3,"47,709",2012 964,"3,959","3,940","7,899","19,913","19,369","39,282","47,181","34,010","34,425","68,435","81,631","79,743","161,374","21,827","1,856",189,"23,872","21,415","1,675","23,309","43,242","3,531",408,Unnamed: 12,Unnamed: 13,Unnamed: 14,Sched,Imports,Exports,Total,Passengers,2013,2014,2015,2016,2017,2018,2019,2020,2021,Francistown District:,Maun District:,Serowe District:,Gantsi District:
,,,,Chrysler,-,-,,,-,-,-,-,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Daewoo,-,-,,,-,-,-,-,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dodge,-,-,,,-,-,-,-,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ford,0.3,10.0,,,-,1.0,5.0,-,,,,,-,-,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hino,-,-,,,7.7,-,-,-,,,,,1.0,-,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Home-made,-,-,,,-,-,-,42.4,,,,,0.2,-,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Honda,16.6,-,,,0.1,-,-,-,,,,,-,-,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hyundai,0.2,0.1,,,1.1,0.1,-,-,,,,,-,-,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Isuzu,-,9.0,,,3.0,0.4,-,-,,,,,-,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Iveco,-,0.0,,,0.6,0.7,0.1,-,,,,,2.0,-,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jeep,0.4,0.1,,,-,-,-,-,,,,,-,-,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kia,0.3,-,,,0.7,-,-,-,,,,,-,-,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Land Rover,0.5,0.4,,,0.0,-,-,-,,,,,-,-,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lexus,0.8,-,,,-,-,-,-,,,,,-,-,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M/Benz,3.5,0.2,,,2.5,1.1,-,-,,,,,8.8,1.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1  0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mahindra,-,0.6,,,-,-,0.1,-,,,,,-,-,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAN,-,-,,,2.8,-,-,-,,,,,9.0,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Massey Ferguson,-,-,,,-,-,61.9,-,,,,,-,-,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mazda,16.9,0.3,,,6.7,5.3,-,-,,,,,-,0.2,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mitsubishi,0.4,0.9,,,2.4,0.1,-,-,,,,,-,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nissan,3.5,14.7,,,13.5,16.9,-,-,,,,,0.7,0.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Opel,-,0.1,,,-,-,-,-,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Peugeot,-,-,,,-,-,-,-,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Renault,0.1,-,,,0.1,-,-,-,,,,,10.0,-,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Scania,-,-,,,2.3,-,-,-,,,,,34.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Subaru,0.1,-,,,-,-,-,-,,,,,-,-,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tata,-,0.3,,,2.0,0.1,-,-,,,,,0.2,-,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Toyota,32.3,59.2,,,42.1,73.1,-,-,,,,,0.2,3.2,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VW,13.2,1.1,,,-,1.0,-,-,,,,,-,-,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Volvo,1.0,-,,,3.9,-,0.3,0.1,,,,,18.8,-,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yamaha,-,-,,,-,-,5.5,-,,,,,-,-,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-  33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other,1.1,2.8,,,8.3,0.1,27.0,57.4,,,,,14.4,93.1,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0  56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,100,100,,,100,100,100,100,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100  100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Year,Vans,Trucks,,,Buses1,,Trailers,Others,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cars,Cycles Tractors,Horses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2012,"93,531","21,104",,,"12,893",,"16,510","2,227",,,,,"346,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,653","1,413  4,944","2,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2013,"93,842","21,790",,,"13,696",,"17,135","1,996",,,,,"363,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"205,854","1,398  5,108","2,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2014,"96,397","22,751",,,"14,465",,"17,760","2,006",,,,,"384,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,469","1,419  5,333","2,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2015,"97,885","23,927",,,"15,651",,"18,773","2,101",,,,,"411,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243,358","1,495 5,657","2,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,"99,271","25,597",,,"17,122",,"19,720","2,100",,,,,"437,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"263,322","1,596 5,846","2,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2017,"99,333","26,955",,,"17,733",,"21,016","2,222",,,,,"462,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"284,898","1,563  5,966","2,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2018,"99,278","28,696",,,"18,441",,"21,820","2,134",,,,,"485,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"305,453","1,486  5,719","2,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019,"100,948","31,192",,,"19,457",,"23,315","2,180",,,,,"521,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333,743","1,479  5,777","3,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020,"101,738","32,509",,,"18,406",,"23,445","2,116",,,,,"525,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"336,584","1,583  5,805","3,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021,"106,018","34,640",,,"19,061",,"25,669","2,370",,,,,"559,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"360,701","1,551  5,795","3,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent of Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2012,27.0,6.1,,,3.7,,4.8,0.6,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,0.4 1.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2013,25.8,6.0,,,3.8,,4.7,0.5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6,0.4 1.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2014,25.1,5.9,,,3.8,,4.6,0.5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,0.4 1.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2015,23.8,5.8,,,3.8,,4.6,0.5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,0.4 1.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,22.7,5.9,,,3.9,,4.5,0.5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,0.4 1.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2017,21.5,5.8,,,3.8,,4.5,0.5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,0.3 1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2018,20.4,5.9,,,3.8,,4.5,0.4,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,0.3 1.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019,19.4,6.0,,,3.7,,4.5,0.4,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.3 1.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020,19.4,6.2,,,3.5,,4.5,0.4,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,0.3 1.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021,19.0,6.2,,,3.4,,4.6,0.4,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,0.3 1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Annual Percentage Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2012,1.7,14.2,,,5.1,,12.6,(3.3),,,,,14.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,31.9  5.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2013,0.3,3.3,,,6.2,,3.8,(10.4),,,,,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,(1.1)  3.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2014,2.7,4.4,,,5.6,,3.6,0.5,,,,,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,1.5  4.4,(7.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2014,2.7,4.4,,,5.6,,3.6,0.5,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,1.5 4.4,(7.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2015,1.5,5.2,,,8.2,,5.7,4.7,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,5.4 6.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,1.4,7.0,,,9.4,,5.0,(0.0),,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.8 3.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2017,0.1,5.3,,,3.6,,6.6,5.8,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,(2.1) 2.1,(1.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2018,(0.1),6.5,,,4.0,,3.8,(4.0),,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,(4.9) (4.1),10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019,1.7,8.7,,,5.5,,6.9,2.2,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,(0.5) 1.0,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020,0.8,4.2,,,(5.4),,0.6,(2.9),,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,7.0 0.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021,4.2,6.6,,,3.6,,9.5,12.0,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,(2.0) (0.2),11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Make,Vans,Trucks,,,Buses,Tractors,Trailers,Others,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cars,cycles,Horses,,,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Audi,-,-,,,-,-,-,-,,,,,"8,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,657",-,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BMW,2,-,,,-,-,-,-,,,,,"17,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,885",67,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chevro,737,6,,,-,-,-,-,,,,,"2,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,958",-,-,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chrysler,2,-,,,-,-,-,-,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,-,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
